m_ArraySize;workgroup;time
32;1010;0.00795479
32;1011;0.00695642
32;1012;0.00795134
32;1013;0.00784228
32;1014;0.00688333
32;1015;0.0069415
32;1016;0.00836041
32;1017;0.00692581
32;1018;0.00717607
32;1019;0.00685999
32;1020;0.00685693
32;1021;0.00793642
32;1022;0.00705591
32;1023;0.00776422
64;1000;0.00708347
64;1001;0.00692198
64;1002;0.0068642
64;1003;0.00692657
64;1004;0.00692504
64;1005;0.00700732
64;1006;0.00810479
64;1007;0.00764828
64;1008;0.00743628
64;1009;0.00686764
64;1010;0.00831449
64;1011;0.00682325
64;1012;0.0078044
64;1013;0.00688601
64;1014;0.00825556
64;1015;0.00826207
64;1016;0.00752008
64;1017;0.00680757
64;1018;0.0068531
64;1019;0.00681254
64;1020;0.00808413
64;1021;0.00696752
64;1022;0.00788629
64;1023;0.00685616
128;1000;0.00742212
128;1001;0.00699392
128;1002;0.00865429
128;1003;0.00690094
128;1004;0.00828349
128;1005;0.00695566
128;1006;0.00696369
128;1007;0.00688372
128;1008;0.0068068
128;1009;0.00815492
128;1010;0.00694953
128;1011;0.00683244
128;1012;0.00693461
128;1013;0.00682172
128;1014;0.006873
128;1015;0.0068818
128;1016;0.0068929
128;1017;0.00817405
128;1018;0.00814344
128;1019;0.00831143
128;1020;0.00839332
128;1021;0.00724495
128;1022;0.00696714
128;1023;0.00700387
256;1000;0.00697747
256;1001;0.00680297
256;1002;0.00688027
256;1003;0.00858656
256;1004;0.0068841
256;1005;0.00681905
256;1006;0.00685808
256;1007;0.0069128
256;1008;0.00690285
256;1009;0.00833898
256;1010;0.00680795
256;1011;0.00810938
256;1012;0.00688792
256;1013;0.00696675
256;1014;0.00802481
256;1015;0.00825709
256;1016;0.00684583
256;1017;0.00762914
256;1018;0.00727671
256;1019;0.00816372
256;1020;0.00691509
256;1021;0.00691012
256;1022;0.00708347
256;1023;0.00701612
512;1000;0.00835735
512;1001;0.00719252
512;1002;0.00747072
512;1003;0.0069392
512;1004;0.00685004
512;1005;0.00687032
512;1006;0.00813847
512;1007;0.00686688
512;1008;0.00685693
512;1009;0.00832061
512;1010;0.00835964
512;1011;0.00690821
512;1012;0.00683588
512;1013;0.00684468
512;1014;0.00690247
512;1015;0.0069614
512;1016;0.00825097
512;1017;0.00824064
512;1018;0.00834816
512;1019;0.00834778
512;1020;0.00687606
512;1021;0.00686382
512;1022;0.00866501
512;1023;0.00891527
1024;1000;0.00833707
1024;1001;0.00681177
1024;1002;0.00693461
1024;1003;0.0081863
1024;1004;0.00692275
1024;1005;0.00819013
1024;1006;0.00810403
1024;1007;0.00792035
1024;1008;0.0068753
1024;1009;0.007416
1024;1010;0.00762455
1024;1011;0.00826245
1024;1012;0.00831717
1024;1013;0.0068642
1024;1014;0.00813005
1024;1015;0.00812316
1024;1016;0.00813464
1024;1017;0.00692351
1024;1018;0.00714469
1024;1019;0.00817673
1024;1020;0.00687185
1024;1021;0.00689213
1024;1022;0.00813426
1024;1023;0.00815339
2048;1000;0.00693652
2048;1001;0.00721816
2048;1002;0.00836347
2048;1003;0.00830684
2048;1004;0.00690706
2048;1005;0.00712441
2048;1006;0.00839715
2048;1007;0.00847368
2048;1008;0.00685578
2048;1009;0.00691356
2048;1010;0.00685961
2048;1011;0.00814995
2048;1012;0.00703028
2048;1013;0.0069193
2048;1014;0.00838452
2048;1015;0.00838681
2048;1016;0.00696025
2048;1017;0.007928
2048;1018;0.00693078
2048;1019;0.00687683
2048;1020;0.00777685
2048;1021;0.00775542
2048;1022;0.00684277
2048;1023;0.00689673
4096;1000;0.00779751
4096;1001;0.00691433
4096;1002;0.00687874
4096;1003;0.00817558
4096;1004;0.00687606
4096;1005;0.00822686
4096;1006;0.00690591
4096;1007;0.00688563
4096;1008;0.00829077
4096;1009;0.00826436
4096;1010;0.00690438
4096;1011;0.00746689
4096;1012;0.0078641
4096;1013;0.00831296
4096;1014;0.00805964
4096;1015;0.00693346
4096;1016;0.00821576
4096;1017;0.0082349
4096;1018;0.00795785
4096;1019;0.00698282
4096;1020;0.00688639
4096;1021;0.00694685
4096;1022;0.00819319
4096;1023;0.00902663
8192;1000;0.0089918
8192;1001;0.0074512
8192;1002;0.00841896
8192;1003;0.00819395
8192;1004;0.00714622
8192;1005;0.00858197
